IN_DATA_x,FAC_ID,OWN_ID,UNIT_ID,REGIME,U_CAP,U_SUM_HR,U_AGE,U_SUM_CF,PRE_RET_MNEMI,D_SCR,D_SNCR,D_LN,D_CM,D_NO,C_CM,C_NONE,C_LN,C_SC,C_SN,REG_x,PUB_x,UNREG_x,REG_y,PUB_y,UNREG_y,IN_DATA_y,MW_04,PRE_MW,CM_MW,LN_MW,SN_MW,SC_MW
1,7,41.0,2,3,540.0,10606.09,15.0,84.20689,0.3782729,1,0,0,0,0,0.0,0.0,0.0,540.0,0.0,0.0,1.0,0.0,0,1,0,1,1818647.0,1786341.0,0.0,0.0,0.0,1786341.0
1,8,65.0,1,1,518.0,11762.08,34.0,62.53333,0.3992778,0,0,1,0,0,0.0,0.0,518.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,1208398.0,1254520.0,0.0,1254520.0,0.0,0.0
1,8,65.0,3,1,518.0,10970.83,33.0,63.73333,0.4013819,0,0,1,0,0,0.0,0.0,518.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,1521637.0,1219248.0,0.0,1219248.0,0.0,0.0
1,9,nan,1,1,372.2,11065.0,31.0,54.19231,0.2479878,0,0,0,0,1,0.0,372.2,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,1134538.0,838387.4,0.0,0.0,0.0,0.0
1,10,66.0,1,1,86.0,14259.57,45.0,56.17857,0.2437029,0,0,0,0,1,0.0,86.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,182704.6,183626.5,0.0,0.0,0.0,0.0
1,10,66.0,2,1,174.0,11243.33,33.0,58.3,0.2309287,0,1,0,0,0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,1.0,0,0,1,1,414148.5,418260.2,0.0,0.0,418260.2,0.0
1,11,46.0,1,1,91.0,12435.42,42.0,48.36666,0.4108257,0,0,0,0,1,0.0,91.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,180679.9,132413.4,0.0,0.0,0.0,0.0
1,11,46.0,2,1,91.0,13486.67,40.0,49.56667,0.3500428,0,0,0,0,1,0.0,91.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,151310.7,145894.8,0.0,0.0,0.0,0.0
1,11,46.0,3,1,165.0,10447.06,29.0,46.69565,0.3791341,0,1,0,0,0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,1.0,0,0,1,1,361888.3,245069.0,0.0,0.0,245069.0,0.0
1,11,46.0,4,1,420.0,13562.61,19.0,35.10345,0.3634246,0,1,0,0,0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,1.0,0,0,1,1,653619.8,577040.6,0.0,0.0,577040.6,0.0
1,12,70.0,1,1,643.0,10927.92,15.0,79.83334,0.4119762,1,0,0,0,0,0.0,0.0,0.0,643.0,0.0,0.0,0.0,1.0,0,0,1,1,1803694.0,1718691.0,0.0,0.0,0.0,1718691.0
1,12,70.0,2,1,643.0,11430.45,8.0,75.42857,0.3990969,1,0,0,0,0,0.0,0.0,0.0,643.0,0.0,0.0,0.0,1.0,0,0,1,1,1889877.0,1813353.0,0.0,0.0,0.0,1813353.0
